ISO28178
# Data formatted with IT8.7/4 patch set
ORIGINATOR	"Idealliance  E,G,J4,T"
CREATED	"December, 2016"
DESCRIPTOR	XCMYK - Expanded gamut reference characterization for high density offset printing
MEASUREMENT_SOURCE	"MeasurementCondition=M1	Filter=D50"
ILLUMINATION_NAME	D50
OBSERVER_ANGLE	2
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	SampleID
NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SampleID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
90	0	100	10	0	31.717	15.041	9.478	45.691	79.245	9.145
91	10	0	10	0	71.612	77.395	62.624	90.503	-6.262	1.199
92	10	10	10	0	65.195	66.361	56.501	85.18	2.73	-1.828
93	10	20	10	0	59.312	56.7	51.063	80.011	11.396	-4.894
94	10	30	10	0	54.172	48.587	45.847	75.194	19.502	-7.186
95	10	40	10	0	49.454	41.205	40.307	70.319	28.169	-8.682
96	10	55	10	0	43.437	32.144	32.871	63.462	40.789	-10.154
97	10	70	10	0	37.654	24.061	25.299	56.149	54.482	-10.464
98	10	85	10	0	32.484	17.766	17.686	49.211	66.828	-7.255
99	10	100	10	0	27.001	12.921	9.464	42.644	74.346	3.94
100	20	0	10	0	61.934	69.305	61.635	86.655	-11.066	-4.471
101	20	10	10	0	56.64	59.811	55.779	81.735	-2.523	-7.014
102	20	20	10	0	51.649	51.389	50.531	76.914	5.578	-9.639
103	20	30	10	0	47.173	43.841	45.29	72.122	14.148	-11.813
104	20	40	10	0	42.793	36.878	39.8	67.185	22.834	-13.422
105	20	55	10	0	37.4	28.557	32.439	60.389	35.384	-14.805
106	20	70	10	0	32.417	21.328	25.192	53.307	48.936	-15.173
107	20	85	10	0	27.921	15.57	17.619	46.405	61.805	-11.942
108	20	100	10	0	23.117	11.157	9.443	39.844	69.908	-0.816
109	30	0	10	0	53.083	61.709	60.436	82.758	-15.887	-10.005
110	30	10	10	0	48.348	53.012	54.675	77.882	-7.436	-12.492
111	30	20	10	0	43.966	45.316	49.334	73.099	0.797	-14.865
112	30	30	10	0	39.79	38.374	44.072	68.295	8.913	-16.931
113	30	40	10	0	36.473	32.703	39.064	63.92	17.128	-18.08
114	30	55	10	0	31.88	25.215	32.089	57.285	29.86	-19.628
115	30	70	10	0	27.878	19.067	25.28	50.765	42.843	-19.712
116	30	85	10	0	23.682	13.521	17.619	43.537	56.501	-16.887
117	30	100	10	0	19.676	9.635	9.785	37.179	65.149	-6.568
118	40	0	10	0	44.79	54.277	58.876	78.623	-20.62	-15.57
119	40	10	10	0	40.674	46.53	53.317	73.888	-12.457	-17.923
120	40	20	10	0	37.626	40.514	48.583	69.834	-4.598	-19.635
121	40	30	10	0	34.154	34.492	43.805	65.352	3.123	-21.677
122	40	40	10	0	31.064	29.071	38.691	60.844	11.546	-22.885
123	40	55	10	0	27.077	22.375	31.972	54.423	23.88	-24.384
124	40	70	10	0	23.396	16.499	24.966	47.623	37.625	-24.569
125	40	85	10	0	19.949	11.759	17.774	40.831	50.763	-21.903
126	40	100	10	0	16.42	8.136	9.786	34.264	60.489	-11.598
127	55	0	10	0	34.507	44.676	56.743	72.678	-27.241	-23.636
128	55	10	10	0	31.732	38.809	51.8	68.613	-19.502	-25.362
129	55	20	10	0	29.011	33.426	46.965	64.505	-11.96	-26.943
130	55	30	10	0	26.405	28.519	42.42	60.355	-4.42	-28.568
131	55	40	10	0	24.098	24.216	38.018	56.303	3.296	-29.808
132	55	55	10	0	20.882	18.526	31.573	50.127	15.232	-31.182
133	55	70	10	0	18.124	13.697	25.039	43.795	28.681	-31.301
134	55	85	10	0	15.328	9.582	18.203	37.082	42.058	-29.323
135	55	100	10	0	12.378	6.321	10.077	30.209	53.053	-19.553
136	70	0	10	0	25.221	35.35	53.921	66.02	-33.765	-32.138
137	70	10	10	0	23.037	30.66	49.565	62.22	-26.895	-33.885
