Library|Pantone_Name|Hex|R|G|B|C|M|Y|K|L|a|b|Hex_Source|RGB_Source|CMYK_Source|Lab_Source
Pantone Formula Guide Uncoated|PANTONE 4239 U|#C8C0B2|200|192|178|0.0|4.0|11.0|21.6|78.04|1.0|8.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4240 U|#CABAA3|202|186|163|0.0|7.9|19.3|20.8|76.47|3.0|14.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4241 U|#B4A387|180|163|135|0.0|9.4|25.0|29.4|67.84|3.0|17.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4242 U|#938770|147|135|112|0.0|8.2|23.8|42.4|56.86|2.0|14.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4243 U|#847565|132|117|101|0.0|11.4|23.5|48.2|50.2|4.0|11.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4244 U|#87796C|135|121|108|0.0|10.4|20.0|47.1|51.76|4.0|9.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4245 U|#726D65|114|109|101|0.0|4.4|11.4|55.3|46.27|1.0|5.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 454 U|#CBC7AC|203|199|172|0.0|2.0|15.3|20.4|80.0|-2.0|14.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 453 U|#BDB89A|189|184|154|0.0|2.6|18.5|25.9|74.51|-2.0|16.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 452 U|#A8A587|168|165|135|0.0|1.8|19.6|34.1|67.45|-3.0|16.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 451 U|#939173|147|145|115|0.0|1.4|21.8|42.4|59.61|-3.0|16.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 450 U|#80775A|128|119|90|0.0|7.0|29.7|49.8|50.2|0.0|17.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 449 U|#706B53|112|107|83|0.0|4.5|25.9|56.1|45.1|-1.0|14.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 448 U|#66614F|102|97|79|0.0|4.9|22.5|60.0|41.18|0.0|11.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7499 U|#F9EDBD|249|237|189|0.0|4.8|24.1|2.4|93.73|-1.0|25.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7500 U|#E5D5AD|229|213|173|0.0|7.0|24.5|10.2|85.88|1.0|22.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7501 U|#DECAA6|222|202|166|0.0|9.0|25.2|12.9|82.35|3.0|21.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7502 U|#C8AF87|200|175|135|0.0|12.5|32.5|21.6|72.94|5.0|24.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7503 U|#9E9173|158|145|115|0.0|8.2|27.2|38.0|60.78|1.0|18.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7504 U|#958173|149|129|115|0.0|13.4|22.8|41.6|55.69|6.0|11.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7505 U|#887566|136|117|102|0.0|14.0|25.0|46.7|50.59|6.0|11.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
