Library|Pantone_Name|Hex|R|G|B|C|M|Y|K|L|a|b|Hex_Source|RGB_Source|CMYK_Source|Lab_Source
FHI Cotton TCX|PANTONE 11-4001 TCX|#EFF4FF|239|244|255|6.3|4.3|0.0|0.0|96.44|2.83|-15.95|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0601 TCX|#F4FBFF|244|251|255|4.3|1.6|0.0|0.0|98.75|1.05|-12.63|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0700 TCX|#F5F9FF|245|249|255|3.9|2.4|0.0|0.0|98.39|2.54|-14.69|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-4800 TCX|#E6E9E7|230|233|231|1.3|0.0|0.9|8.6|92.13|-1.19|0.66|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-4201 TCX|#EFEEE9|239|238|233|0.0|0.4|2.5|6.3|94.07|-0.15|2.72|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0608 TCX|#F0EDE6|240|237|230|0.0|1.2|4.2|5.9|93.94|-0.12|4.1|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-4801 TCX|#E7E3D9|231|227|217|0.0|1.7|6.1|9.4|90.46|0.09|5.43|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0607 TCX|#F3EEE7|243|238|231|0.0|2.1|4.9|4.7|94.31|1.0|3.8|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-1001 TCX|#EEEBE7|238|235|231|0.0|1.3|2.9|6.7|93.19|0.64|2.42|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0602 TCX|#F1F0EB|241|240|235|0.0|0.4|2.5|5.5|94.85|-0.33|2.85|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-4202 TCX|#EFEFE8|239|239|232|0.0|0.0|2.9|6.3|94.21|-0.96|3.26|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-4300 TCX|#EFEEE4|239|238|228|0.0|0.4|4.6|6.3|93.96|-1.09|5.04|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-4302 TCX|#F0EFE2|240|239|226|0.0|0.4|5.8|5.9|94.32|-1.29|6.62|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0103 TCX|#F1ECDF|241|236|223|0.0|2.1|7.5|5.5|93.5|0.17|7.01|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0104 TCX|#EFE9DA|239|233|218|0.0|2.5|8.8|6.3|92.56|-0.08|8.35|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0606 TCX|#F0E8D9|240|232|217|0.0|3.3|9.6|5.9|92.33|0.96|8.21|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0701 TCX|#ECE6DA|236|230|218|0.0|2.5|7.6|7.5|91.54|0.38|6.42|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0601 TCX|#EAE0D2|234|224|210|0.0|4.3|10.3|8.2|89.84|1.65|8.14|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0604 TCX|#EFE8DF|239|232|223|0.0|2.9|6.7|6.3|92.39|1.32|5.57|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0605 TCX|#ECE6DE|236|230|222|0.0|2.5|5.9|7.5|91.55|0.98|4.76|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0905 TCX|#DBD4C6|219|212|198|0.0|3.2|9.6|14.1|85.32|0.71|8.02|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0105 TCX|#EDE4D3|237|228|211|0.0|3.8|11.0|7.1|90.88|1.04|9.6|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0703 TCX|#E4D9C3|228|217|195|0.0|4.8|14.5|10.6|87.12|1.09|12.16|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0000 TCX|#E2D6C4|226|214|196|0.0|5.3|13.3|11.4|86.18|2.13|10.16|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0304 TCX|#DED4C5|222|212|197|0.0|4.5|11.3|12.9|85.37|1.68|8.64|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0908 TCX|#DDD0BD|221|208|189|0.0|5.9|14.5|13.3|84.1|2.53|11.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1006 TCX|#D9CAB4|217|202|180|0.0|6.9|17.1|14.9|82.24|2.47|13.23|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0709 TCX|#E1CDB6|225|205|182|0.0|8.9|19.1|11.8|83.66|4.5|14.39|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0110 TCX|#EDE0CD|237|224|205|0.0|5.5|13.5|7.1|89.77|2.64|10.69|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0907 TCX|#EEDECC|238|222|204|0.0|6.7|14.3|6.7|89.47|3.31|11.27|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0704 TCX|#EBDBC8|235|219|200|0.0|6.8|14.9|7.8|88.25|3.4|11.35|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0809 TCX|#F1DECA|241|222|202|0.0|7.9|16.2|5.5|89.5|4.4|12.21|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0710 TCX|#ECDBC2|236|219|194|0.0|7.2|17.8|7.5|88.27|3.34|14.56|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0605 TCX|#DDD0BA|221|208|186|0.0|5.9|15.8|13.3|84.21|1.82|12.55|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1008 TCX|#D8CBB3|216|203|179|0.0|6.0|17.1|15.3|82.34|1.67|13.65|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1104 TCX|#D9CABA|217|202|186|0.0|6.9|14.3|14.9|82.12|3.37|10.02|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-1404 TCX|#D9CBBE|217|203|190|0.0|6.5|12.4|14.9|82.53|3.3|8.52|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1107 TCX|#D9CABD|217|202|189|0.0|6.9|12.9|14.9|82.4|3.78|8.41|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1106 TCX|#DCCDBD|220|205|189|0.0|6.8|14.1|13.7|83.21|3.62|9.76|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1308 TCX|#D9C9B7|217|201|183|0.0|7.4|15.7|14.9|81.91|3.41|11.05|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-1403 TCX|#D9CCBB|217|204|187|0.0|6.0|13.8|14.9|82.81|2.68|10.2|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0907 TCX|#D6CBBB|214|203|187|0.0|5.1|12.6|16.1|82.19|1.93|9.39|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0404 TCX|#C9C2B7|201|194|183|0.0|3.5|9.0|21.2|78.9|1.13|6.64|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0401 TCX|#CAC2B4|202|194|180|0.0|4.0|10.9|20.8|78.8|0.89|8.15|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0003 TCX|#D1C8BD|209|200|189|0.0|4.3|9.6|18.0|81.18|1.83|6.63|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0400 TCX|#C9C0B3|201|192|179|0.0|4.5|10.9|21.2|78.3|1.62|8.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-0002 TCX|#C8C2B8|200|194|184|0.0|3.0|8.0|21.6|78.65|1.09|5.69|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-5304 TCX|#CDC7BC|205|199|188|0.0|2.9|8.3|19.6|80.59|0.74|6.2|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0000 TCX|#CCC5BD|204|197|189|0.0|3.4|7.4|20.0|80.03|1.27|4.95|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0105 TCX|#D5D0BF|213|208|191|0.0|2.3|10.3|16.5|83.48|-0.27|8.98|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0607 TCX|#CEC3B1|206|195|177|0.0|5.3|14.1|19.2|79.44|1.75|10.75|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-1107 TCX|#C9C0AE|201|192|174|0.0|4.5|13.4|21.2|78.05|1.13|10.52|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-1106 TCX|#C3BBAD|195|187|173|0.0|4.1|11.3|23.5|76.18|1.07|7.99|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-1305 TCX|#B6AD9E|182|173|158|0.0|4.9|13.2|28.6|71.05|1.37|8.92|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-1306 TCX|#B5A999|181|169|153|0.0|6.6|15.5|29.0|69.93|2.58|9.88|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-1304 TCX|#B5A693|181|166|147|0.0|8.3|18.8|29.0|68.94|3.62|11.8|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-4302 TCX|#DEDED6|222|222|214|0.0|0.0|3.6|12.9|88.23|-1.09|3.63|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-4300 TCX|#D6D6CD|214|214|205|0.0|0.0|4.2|16.1|85.45|-1.03|4.3|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-4403 TCX|#D0CFC4|208|207|196|0.0|0.5|5.8|18.4|82.88|-0.74|5.65|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-4301 TCX|#D5CEBE|213|206|190|0.0|3.3|10.8|16.5|82.98|0.42|8.95|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-0105 TCX|#C1BCAA|193|188|170|0.0|2.6|11.9|24.3|76.42|-0.58|9.96|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-6305 TCX|#BFBBAC|191|187|172|0.0|2.1|9.9|25.1|75.92|-0.41|8.43|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 16-1105 TCX|#ACA293|172|162|147|0.0|5.8|14.5|32.5|67.27|1.81|9.47|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-5201 TCX|#DADCD0|218|220|208|0.9|0.0|5.5|13.7|87.44|-2.37|5.54|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0404 TCX|#D9D7C9|217|215|201|0.0|0.9|7.4|14.9|85.83|-1.01|7.33|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-6204 TCX|#D6D6C6|214|214|198|0.0|0.0|7.5|16.1|85.4|-2.12|8.09|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-6308 TCX|#B5B49E|181|180|158|0.0|0.6|12.7|29.0|73.1|-2.59|11.75|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-6410 TCX|#ADAA96|173|170|150|0.0|1.7|13.3|32.2|69.57|-1.69|10.77|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-6307 TCX|#B2B0A1|178|176|161|0.0|1.1|9.6|30.2|71.74|-1.39|8.22|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-6408 TCX|#A9A797|169|167|151|0.0|1.2|10.7|33.7|68.23|-1.19|8.41|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-5202 TCX|#DCD7C8|220|215|200|0.0|2.3|9.1|13.7|86.03|0.16|8.11|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0104 TCX|#E0DAC9|224|218|201|0.0|2.7|10.3|12.2|87.18|-0.31|9.33|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0110 TCX|#D6CFBB|214|207|187|0.0|3.3|12.6|16.1|83.23|0.12|10.74|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-0108 TCX|#C7BFAA|199|191|170|0.0|4.0|14.6|22.0|77.66|0.23|11.56|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-0210 TCX|#BDB8A2|189|184|162|0.0|2.6|14.3|25.9|74.72|-0.61|11.7|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-0513 TCX|#B0A892|176|168|146|0.0|4.5|17.0|31.0|69.0|0.23|12.28|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-0309 TCX|#ADA591|173|165|145|0.0|4.6|16.2|32.2|68.05|0.47|11.29|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0311 TCX|#CFCDB2|207|205|178|0.0|1.0|14.0|18.8|82.05|-2.75|13.67|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1007 TCX|#D1C8AF|209|200|175|0.0|4.3|16.3|18.0|80.82|0.29|13.74|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0611 TCX|#CECBAD|206|203|173|0.0|1.5|16.0|19.2|81.37|-2.5|15.61|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-0615 TCX|#C6C3A1|198|195|161|0.0|1.5|18.7|22.4|78.44|-3.09|17.46|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-1115 TCX|#B4A890|180|168|144|0.0|6.7|20.0|29.4|69.32|1.66|14.13|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 17-1107 TCX|#99907F|153|144|127|0.0|5.9|17.0|40.0|60.32|0.86|10.37|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 17-0510 TCX|#928A78|146|138|120|0.0|5.5|17.8|42.7|57.83|0.38|11.09|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0513 TCX|#D5CFB0|213|207|176|0.0|2.8|17.4|16.5|82.91|-1.4|16.21|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0711 TCX|#D2C9AF|210|201|175|0.0|4.3|16.7|17.6|81.15|-0.09|14.23|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1105 TCX|#C6BAA4|198|186|164|0.0|6.1|17.2|22.4|76.2|1.41|12.94|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 16-1119 TCX|#9E937C|158|147|124|0.0|7.0|21.5|38.0|61.53|1.26|13.82|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 17-1108 TCX|#938A7A|147|138|122|0.0|6.1|17.0|42.4|57.83|1.6|9.8|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 17-1113 TCX|#928572|146|133|114|0.0|8.9|21.9|42.7|56.41|2.24|12.48|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 17-1118 TCX|#877962|135|121|98|0.0|10.4|27.4|47.1|51.58|3.13|14.38|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-1116 TCX|#B8A990|184|169|144|0.0|8.2|21.7|27.8|69.94|2.58|14.96|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 16-1010 TCX|#AD997D|173|153|125|0.0|11.6|27.7|32.2|64.34|4.57|17.39|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-1114 TCX|#AA987C|170|152|124|0.0|10.6|27.1|33.3|63.96|3.79|17.27|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 16-1315 TCX|#A59379|165|147|121|0.0|10.9|26.7|35.3|62.14|3.9|16.58|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 17-1022 TCX|#958366|149|131|102|0.0|12.1|31.5|41.6|55.86|3.77|18.62|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 17-1115 TCX|#8B7860|139|120|96|0.0|13.7|30.9|45.5|51.73|4.68|15.88|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 17-1314 TCX|#877560|135|117|96|0.0|13.3|28.9|47.1|50.39|4.87|14.11|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-1108 TCX|#D5C8B0|213|200|176|0.0|6.1|17.4|16.5|81.25|1.62|14.04|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-1218 TCX|#CCB699|204|182|153|0.0|10.8|25.0|20.0|75.29|4.8|17.84|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-1112 TCX|#C7B497|199|180|151|0.0|9.5|24.1|22.0|74.46|3.58|17.48|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-1208 TCX|#BDAB92|189|171|146|0.0|9.5|22.8|25.9|71.03|4.13|15.16|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 16-1213 TCX|#A39482|163|148|130|0.0|9.2|20.2|36.1|62.14|3.68|11.49|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 17-1112 TCX|#998E7E|153|142|126|0.0|7.2|17.6|40.0|59.65|2.08|10.12|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 17-1312 TCX|#9D8C7B|157|140|123|0.0|10.8|21.7|38.4|59.48|4.23|11.37|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-1014 TCX|#C9BDA1|201|189|161|0.0|6.0|19.9|21.2|77.18|0.83|16.09|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-1217 TCX|#C4B394|196|179|148|0.0|8.7|24.5|23.1|73.86|2.4|18.32|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-1216 TCX|#BCAE91|188|174|145|0.0|7.4|22.9|26.3|71.72|1.85|16.69|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-1307 TCX|#B4A792|180|167|146|0.0|7.2|18.9|29.4|69.11|2.24|12.47|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 16-1101 TCX|#A99C88|169|156|136|0.0|7.7|19.5|33.7|64.92|2.53|11.9|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 16-1104 TCX|#A29786|162|151|134|0.0|6.8|17.3|36.5|63.05|1.95|10.33|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 17-1109 TCX|#998E7A|153|142|122|0.0|7.2|20.3|40.0|59.56|2.08|12.08|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-1110 TCX|#CEBC9A|206|188|154|0.0|8.7|25.2|19.2|77.11|2.68|19.86|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-1116 TCX|#C9B190|201|177|144|0.0|11.9|28.4|21.2|73.58|5.56|20.32|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-1119 TCX|#BCA47E|188|164|126|0.0|12.8|33.0|26.3|68.89|4.52|23.26|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 16-0924 TCX|#C0A985|192|169|133|0.0|12.0|30.7|24.7|70.5|4.95|21.7|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 16-0920 TCX|#B9A282|185|162|130|0.0|12.4|29.7|27.5|68.09|4.82|19.99|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 16-1120 TCX|#AD9976|173|153|118|0.0|11.6|31.8|32.2|64.23|3.87|21.1|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 16-1324 TCX|#B49871|180|152|113|0.0|15.6|37.2|29.4|64.86|6.66|24.68|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1009 TCX|#D7C5AA|215|197|170|0.0|8.4|20.9|15.7|80.6|3.16|16.2|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1016 TCX|#DBC2A5|219|194|165|0.0|11.4|24.7|14.1|80.11|5.53|18.39|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1011 TCX|#D7BFA7|215|191|167|0.0|11.2|22.3|15.7|78.83|6.03|15.26|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-1118 TCX|#D2B798|210|183|152|0.0|12.9|27.6|17.6|76.33|6.42|19.73|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-1214 TCX|#C2AD90|194|173|144|0.0|10.8|25.8|23.9|71.9|4.41|17.86|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 15-1020 TCX|#BDA48A|189|164|138|0.0|13.2|27.0|25.9|69.14|6.29|17.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 17-1320 TCX|#A3886D|163|136|109|0.0|16.6|33.1|36.1|58.64|7.95|18.35|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0811 TCX|#E8D0B7|232|208|183|0.0|10.3|21.1|9.0|85.07|5.77|15.75|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1010 TCX|#E1CAAF|225|202|175|0.0|10.2|22.2|11.8|82.79|5.26|16.92|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-1120 TCX|#DFC2A6|223|194|166|0.0|13.0|25.6|12.5|80.44|7.61|18.33|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1013 TCX|#DABA9F|218|186|159|0.0|14.7|27.1|14.5|77.89|8.49|18.16|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 14-1119 TCX|#DCBD9E|220|189|158|0.0|14.1|28.2|13.7|78.87|8.12|19.96|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1015 TCX|#D8BC9D|216|188|157|0.0|13.0|27.3|15.3|78.02|7.11|19.5|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1014 TCX|#D4B797|212|183|151|0.0|13.7|28.8|16.9|76.38|7.15|20.54|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-1009 TCX|#F2D7C5|242|215|197|0.0|11.2|18.6|5.1|87.81|7.74|12.14|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-1006 TCX|#E6D3C2|230|211|194|0.0|8.3|15.7|9.8|85.89|4.55|10.98|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-1008 TCX|#E9D2BE|233|210|190|0.0|9.9|18.5|8.6|85.72|5.95|12.79|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
