iso_ts,queue_depth_default,queue_depth_priority,workers,status_http
2026-04-21T17:24:33+00:00,0,0,1,200
2026-04-21T17:25:04+00:00,0,0,0,-1
2026-04-21T17:25:34+00:00,0,0,0,-1
2026-04-21T17:26:04+00:00,0,0,0,-1
2026-04-21T17:26:34+00:00,0,0,0,-1
2026-04-21T17:27:05+00:00,0,0,0,-1
2026-04-21T17:27:35+00:00,0,0,0,-1
